QuellenId,URL
1,https://www.zeit.de/sport/2024-06/deutschland-gewinnt-em-eroeffnungsspiel-gegen-schottland-deutlich
2,https://www.zeit.de/sport/2024-06/deutschland-ungarn-gruppe-a-fussball-em
3,https://www.zeit.de/sport/2024-06/unentschieden-gegen-die-schweiz-reicht-deutschland-zum-gruppensieg
4,https://www.zeit.de/sport/2024-06/deutschland-besiegt-daenemark-und-steht-im-em-viertelfinale
5,https://www.instagram.com/p/C8Nde6jMplD/?hl=de
6,https://www.instagram.com/p/C8aAbk2M2x8/?hl=de
7,https://www.instagram.com/p/C8koX8ssOXK/?hl=de
8,https://www.instagram.com/p/C80Iz4wsrCr/?hl=de
9,https://www.youtube.com/watch?v=I98c_Lzr4HY
10,https://www.youtube.com/watch?v=vpReFyBgVq4
11,https://www.youtube.com/watch?v=TPp8RxGgreQ
12,https://www.youtube.com/watch?v=R5G7RVNF1Yw
