Nummer,German Sentiment Classification with BERT,German Sentiment Analysis,XMLRoBERTaGerman,textblob_de,NLTK Vader,spaCy,DistilBERT base uncased finetuned SST-2,bertweet,Twitter-roBERTa-base
1,-0.1796344928443431,0.2200055122375488,-0.0415757782757282,0.7,0.7901,0.375,0.9997453617834252,0.9905744025018066,0.983119938755408
2,0.3244243264198303,0.3157774806022644,0.0365881081670522,1.0,0.4173,0.0,0.9996653330599656,0.6152523383498192,0.7497022105380893
3,-0.9858425823040308,-0.7145516127347946,-0.9846386178396642,0.2333333333333333,-0.128,-0.3888888888888889,-0.9524464458227158,-0.959349736571312,-0.8790044412016869
4,-0.2608531638979912,0.143123060464859,-0.0078543573617935,1.0,0.6808,0.3452020202020202,0.9980263540055604,0.8634810233488679,0.6124391965568066
5,-0.0007907563995104,0.3255162537097931,0.0132554769515991,0.0,0.6369,0.5,0.9996543305460364,0.9906974211335182,0.9538781959563494
6,-0.6325740069150925,0.1693004518747329,-0.0432646721601486,0.0,0.1531,0.0,-0.9946956920903176,0.0504818249028176,0.0991631271317601
7,0.952448632568121,0.5372290760278702,0.994986561127007,0.425,0.862,0.2526666666666666,0.9997682363100466,0.9903924521058798,0.985474207205698
8,-0.9884068528190256,-0.3685591146349907,-0.9064919874072076,0.0,0.0,0.0,-0.998646989755798,-0.9555080011487008,-0.7029942814260721
9,-0.908173955976963,0.2334226667881012,0.966725703328848,0.0,0.2732,0.0,0.9996981385775144,0.8439761016052216,0.9409052687697111
10,-0.9453403800725936,-0.7061480954289436,-0.8389255255460739,-1.0,-0.5267,-0.7999999999999999,-0.9994224246183876,-0.9707659853156656,-0.8343645790591836
11,0.8851942792534828,0.6813376247882843,0.7470074594020844,0.25,0.9009,0.3,0.9965063640847802,0.985232760431245,0.9504245705902576
12,-0.0009534645942039,-0.0600967928767204,-0.0001386193471262,0.0,0.1531,0.0666666666666666,-0.9983279610751196,0.1429850459098816,-0.4014590643346309
13,-0.001994113146793,0.1210218667984008,-0.0003082524635829,0.0,0.0,0.0,-0.9972531306557356,0.0139833153225481,0.0173117266967892
14,-0.0091175064444541,0.3077440857887268,0.9913145506288856,0.2333333333333333,0.9392,0.4166666666666667,0.9996602597093442,0.9895936956163496,0.9850276198703796
