Nummer,German Sentiment Classification with BERT,German Sentiment Analysis,XMLRoBERTaGerman,textblob_de,NLTK Vader,spaCy,DistilBERT base uncased finetuned SST-2,bertweet,Twitter-roBERTa-base
1,-0.1796344928443431,0.2200055122375488,-0.0415757782757282,0.7,0.7574,0.2708333333333333,0.9996965609316248,0.9861315077869222,0.9638081430457532
2,0.3244243264198303,0.3157774806022644,0.0365881081670522,1.0,0.4173,0.0,0.9996653330599656,0.6152523383498192,0.7497022105380893
3,-0.9858425823040308,-0.7145516127347946,-0.9846386178396642,0.2333333333333333,-0.128,-0.2066666666666666,-0.9903783965855836,-0.9547790421638638,-0.8953766683116555
4,-0.2608531638979912,0.143123060464859,-0.0078543573617935,1.0,0.3612,0.5121212121212121,0.9993516996619292,0.8742546723224223,0.6879560835659504
5,-0.0007907563995104,0.3255162537097931,0.0132554769515991,0.0,0.6369,0.5,0.9996595637057908,0.9906412123236804,0.9751822489779444
6,-0.6325740069150925,0.1693004518747329,-0.0432646721601486,0.0,0.1531,0.0,-0.9943397585302592,0.0521376840770244,0.0827809311449527
7,0.952448632568121,0.5372290760278702,0.994986561127007,0.425,0.8685,0.346,0.9997684727059096,0.9904772001318634,0.9842078236397356
8,-0.9884068528190256,-0.3685591146349907,-0.9064919874072076,0.0,0.0,0.0,-0.998646989755798,-0.9555080011487008,-0.7029942814260721
9,-0.908173955976963,0.2334226667881012,0.966725703328848,0.0,0.2732,0.0,0.9996981385775144,0.8439761016052216,0.9409052687697111
10,-0.9453403800725936,-0.7061480954289436,-0.8389255255460739,-1.0,-0.5267,-0.7999999999999999,-0.9993271630373785,-0.9702783217653632,-0.8163631893694401
11,0.8851942792534828,0.6813376247882843,0.7470074594020844,0.25,0.9009,0.3,0.995255324523896,0.9846583211328834,0.9646083093248308
12,-0.0009534645942039,-0.0600967928767204,-0.0001386193471262,0.0,0.1531,0.1625,-0.9927367912605404,0.1338810995221138,-0.3183119967579841
13,-0.001994113146793,0.1210218667984008,-0.0003082524635829,0.0,0.0,0.0,-0.9972531306557356,0.0139833153225481,0.0173117266967892
14,-0.0091175064444541,0.3077440857887268,0.9913145506288856,0.2333333333333333,0.9392,0.4166666666666667,0.999652519923984,0.9895844759885222,0.9849862614646554
15,-0.9838932859711348,-0.3366198465228081,-0.0438221544027328,0.35,0.3476,-0.0666666666666666,-0.9978286783443764,-0.6216308809816837,-0.5921392384916544
16,0.9984832950285636,-0.0347968339920043,0.9972281730733812,0.925,0.5411,0.0,-0.5566554069519043,0.9875375791452824,0.9344450430944562
17,0.9501468650996684,0.4338836073875427,0.9753516968339682,0.0,0.8016,0.7125,0.9997718685190192,0.9895498962141572,0.9686136692762376
18,-0.8312481418251991,-0.3651243150234222,-0.2854542136192322,0.0,-0.2052,0.25,-0.9938470015767962,-0.8542188918218017,-0.3855877369642257
19,-0.015131521038711,0.0300333797931671,0.9376049283891916,-0.15,0.4341,0.0,0.9988993761944585,0.9827179207932204,0.9452278017997742
20,-0.021706168889068,-0.6520544588565826,-0.9775135980453342,0.0,-0.5994,0.2142857142857142,-0.9981786769931204,-0.975800395011902,-0.9303295291028916
21,-0.992535746190697,-0.7120076268911362,-0.9001484895125031,0.0,-0.7717,-0.5,-0.9994312672060914,-0.9491290394216776,-0.8585076229646802
22,-0.0045718138571828,0.158323124051094,-0.0050412584096193,0.0,-0.4767,0.0,-0.9683408476412296,-0.2682279436849057,0.0998722724616527
23,-0.9927607881836592,-0.7615547627210617,-0.9979090151609852,-0.7,-0.4201,-0.65,-0.9996090942586306,-0.9681646749377252,-0.9308577254414558
24,0.9167437478899956,0.7784891426563263,0.5336716324090958,0.85,0.743,0.0,0.9983541397377848,0.9899302353151144,0.9765758728608488
25,-0.3367589563131332,-0.2361827939748764,-0.0608135759830474,0.6666666666666666,0.0772,0.1925,-0.9929675760213286,-0.8313730312511325,-0.8079266045242548
26,0.999615508277202,0.0885007977485656,0.9978984167682938,0.425,0.9144,0.42,0.99974877735076,0.9880251893773676,0.3873337507247925
27,-0.0841576196253299,-0.6034036129713058,-0.7942746672779322,0.85,-0.017,-0.1333333333333333,-0.9956740215420724,-0.9740674952045084,-0.8965109107084572
28,-0.0530022978782653,-0.5532960146665573,-0.4707968970760703,0.0,0.0516,0.0766666666666666,-0.9832755094394088,-0.3017938546836376,-0.4934037253260612
29,0.9682590588927268,0.4436605721712112,0.7818112820386887,0.35,0.8402,0.4583333333333333,0.9997546683007386,0.9911062405444682,0.9785215377341956
30,-0.7303451597690582,0.0116549134254455,-0.032233003526926,0.075,0.3612,0.1,-0.9860080140642822,0.1201116107404232,0.2419301625341177
31,0.8613708317279816,0.4580471664667129,0.7224353849887848,0.0,0.5994,0.3333333333333333,0.8183474391698837,0.990761382970959,0.984829876339063
32,-0.0078346068039536,-0.1340627074241638,-0.0003365293960087,0.0,0.0,0.375,-0.9976940915221348,-0.1927227238193154,-0.4016829654574394
33,0.948737308382988,0.1943772435188293,0.8433078527450562,0.7,0.7777,0.13,0.9996648142696358,0.9888739755842836,0.9657590985298156
34,-5.555725238082232e-06,-0.2050441727042198,-0.0008082099084276,0.0,-0.6621,0.0625,-0.972765943966806,-0.9606288026552648,-0.7748281741514802
35,-0.0030570714734494,-0.8037272542715073,-0.2230442520231008,-1.0,-0.5719,-1.0,-0.9992743092007004,-0.9757188255898654,-0.9188236845657228
36,0.988633775152266,0.5264009982347488,0.9579296382144094,0.3333333333333333,0.3987,0.5666666666666667,0.9994703659613152,0.990343467798084,0.9712037034332752
37,-0.0018289658473804,-0.572248287498951,-0.5871135592460632,0.0,0.0572,-0.3333333333333333,-0.9993691193812992,-0.8641942818649113,-0.7493920344859362
38,0.3409371525049209,-0.0892994105815887,-0.8437614273279905,0.0,0.0,-0.3,-0.9967929839622228,0.0019419621676206,-0.0126219391822814
39,-0.899405999109149,-0.625352144241333,-0.9879878256469964,0.85,-0.5975,0.0499999999999999,-0.985013645607978,-0.864314479753375,-0.7962152529507875
40,-0.0023847648408263,0.1000576168298721,0.0002251731348223,-0.7,0.4364,0.0533333333333333,0.999056825239677,0.9744612781796604,0.963318339549005
41,-0.972632335498929,0.7597348839044571,0.9861963880248368,1.0,0.4767,0.75,0.5926336944103241,0.9895703888032584,0.9788113348186016
42,-0.995565127581358,-0.5638418346643448,-0.964793784543872,-0.85,0.0,-0.05,-0.997888398473151,-0.9626056356355548,-0.8893294632434845
43,-0.8771936856210232,0.0868518948554992,-0.0035987086594104,0.95,0.8654,0.2416666666666666,0.9284900985658168,0.5163511903956532,0.5866954121738672
44,-0.1635773815214634,-0.5911357924342155,-0.0152575557585805,-1.0,-0.3612,-0.0952380952380952,-0.7979441657662392,-0.924829966854304,-0.8059497643262148
45,-0.0405377931892871,0.408494308590889,0.9601512486115098,0.0,0.722,0.375,0.9997448869980872,0.9895402942784132,0.9682979336939752
46,-0.0195893738418817,-0.3255836218595505,-0.072192158550024,0.0,-0.296,0.0708333333333333,-0.4771060943603515,-0.8632001993246377,-0.7154068760573864
47,-0.8774596005678177,-0.6668245792388916,-0.994769147830084,-1.0,0.4966,0.0166666666666666,-0.7169245034456253,-0.9720333206932992,-0.7434703037142754
48,-0.4526315256953239,0.0655441582202911,0.1072664447128772,1.0,0.4404,0.7,0.9993217185256072,0.9719375432468952,0.8663311786949635
49,-0.1306531876325607,-0.5158732086420059,-0.0211207866668701,-0.15,-0.7003,0.1166666666666666,-0.9861182780005038,-0.8730675764381886,-0.8285468574613333
50,0.9598106686025858,0.5457989275455475,0.9144899686798452,0.0,0.6792,0.325,0.9997460660524666,0.9903054113965482,0.9779036764521152
51,-0.0009293426410295,0.0161029994487762,-0.0098200570791959,0.0,0.2716,0.3333333333333333,-0.9599390905350448,0.3139629466459155,0.3036832585930824
52,-0.0324008092284202,0.2357994318008422,0.6226502656936646,0.35,0.5358,0.0,0.9996536293911048,0.9807283296249808,0.6983750388026237
53,-0.0054780559148639,-0.6576433554291725,-0.9558029137551785,0.0,-0.4939,-0.0999999999999999,-0.99958936170151,-0.978725000983104,-0.9401069064624608
54,-0.9818083960562944,-0.7810476049780846,-0.9359380379319192,-1.0,-0.5256,-0.55,-0.9993879903922788,-0.9781052209436892,-0.9336111475713552
55,-0.0009607091778889,-0.1251182109117508,-0.665039423853159,0.0,0.0,0.0,-0.9993338172789664,-0.5714736161753535,-0.3691835254430771
